entry_period,exit_period,slippage,total_return,cagr,mdd,sharpe,sortino,calmar,win_rate,total_trades,winning_trades,losing_trades,avg_win,avg_loss,profit_factor,max_win_streak,max_loss_streak,avg_holding_period
30,15,0.2,5137.4440309430265,65.6399997968919,-20.150862216933795,0.7804067486977353,1.3938472008611829,3.2574288430065916,56.75675675675676,37,21,16,32.02796521920009,-5.344972358322793,7.864718754764691,1,1,32.21621621621622
30,15,0.3,4961.523196891219,64.92008489064021,-20.56807473108494,0.7761107752885833,1.3850624652354429,3.1563520523642006,56.75675675675676,37,21,16,31.927965219200093,-5.444972358322793,7.696173936704464,1,1,32.21621621621622
30,20,0.1,3957.716602583656,60.33741128989847,-31.44654845476768,0.7682698456421653,0.9547174018789689,1.9187292168705588,55.88235294117647,34,19,15,34.896923625401584,-7.377866390003063,5.991267337858408,1,1,38.55882352941177
30,20,0.2,3832.2294357146625,59.69656733921933,-31.81634183625271,0.764173039560578,0.9488408729456638,1.8762863325537589,55.88235294117647,34,19,15,34.79692362540159,-7.4778663900030615,5.894208449319989,1,1,38.55882352941177
30,20,0.3,3710.5074859843194,59.057669878993636,-32.1845397216233,0.760066073630209,0.9429643440123586,1.8349701561621377,55.88235294117647,34,19,15,34.69692362540158,-7.577866390003061,5.7997112023715145,1,1,38.55882352941177
40,5,0.1,2523.035775519586,51.66276398571268,-19.557382264567927,1.1008586761592012,1.677828268589039,2.641599130539572,56.14035087719298,57,32,25,14.998372682959882,-3.630693882949153,5.287671627825174,1,1,12.12280701754386
40,5,0.2,2384.505474722322,50.61729107920101,-20.056649409479366,1.0873259710076169,1.52189805210608,2.523716202332269,54.385964912280706,57,31,26,15.379999233535516,-3.5884383637928217,5.1102149555799175,1,1,12.12280701754386
40,5,0.3,2253.168104464923,49.578026163210765,-20.553331791902252,1.0736965648717156,1.4992767790168915,2.412164930979408,54.385964912280706,57,31,26,15.279999233535513,-3.6884383637928218,4.9393425693213935,1,1,12.12280701754386
40,10,0.1,3265.8499487020963,56.561362651028176,-17.55483408879282,0.8526019618660228,1.357397349583711,3.221982182511056,58.97435897435898,39,23,16,23.275237106835238,-4.4117690590831975,7.583840607474713,1,1,23.153846153846153
40,10,0.2,3146.062516073707,55.839741806025486,-17.90056397469083,0.8464692842300303,1.346006410155627,3.119440364279915,58.97435897435898,39,23,16,23.175237106835255,-4.511769059083197,7.383889313662088,1,1,23.153846153846153
