Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
Close>EMA53,4534.269717296419,63.07628544600288,-56.02652147946486,1.4129418281246748,51.050679851668725,1618
Close>WMA18,3976.9269376676134,60.433984894192186,-47.99426979073446,1.4124667196382272,46.81978798586572,1698
Close>WMA21,4078.940208770338,60.940266792547824,-55.572194741995794,1.4113244514991503,47.44047619047619,1680
Close>EMA47,4463.151915547939,62.75508271195118,-54.941611683574386,1.4085331962570335,51.30759651307597,1606
Close>EMA34,4568.892286933987,63.23110406647117,-49.73691944709392,1.4082445067320426,50.62421972534332,1602
Close>EMA35,4539.365750966992,63.099136126713276,-51.932402070319675,1.4060747486752747,50.77881619937694,1605
Close>EMA40,4399.742306798615,62.46498916128886,-47.62114625142237,1.4028561430910709,51.11801242236025,1610
Close>WMA22,3856.025981038893,59.81945052941376,-55.00330181415952,1.3958862379882362,47.582089552238806,1675
Close>WMA15,3796.2425044199485,59.509495870798304,-52.53151042537725,1.3954306291884369,46.198830409356724,1710
Close>SMA15,3834.556512602214,59.70861273197687,-54.89475897802601,1.3950966597975794,47.59615384615385,1664
Close>EMA33,4355.737038080385,62.261564930880084,-51.09434754537096,1.3924158430098852,50.374064837905244,1604
Close>EMA36,4307.185838090945,62.03508207715704,-50.58888281109903,1.3904456100980362,50.8695652173913,1610
Close>EMA49,4108.950254040316,61.08715068422601,-54.63931764672944,1.3830377008245378,51.18306351183064,1606
Close>EMA45,4170.141288628255,61.383840158811154,-53.3265300296373,1.3821732923147716,51.17866004962779,1612
Close>EMA39,4119.42929512715,61.138225053921346,-49.70371777007754,1.3821659224990868,51.02420856610801,1611
Close>EMA50,4111.480193569329,61.09949164550845,-58.1504229464999,1.3821346314842777,51.02420856610801,1611
Close>EMA44,4155.997846074078,61.31559577577932,-53.32653002963731,1.3811572727989245,51.14693118412895,1613
Close>EMA41,4048.876471524919,60.79219438216374,-51.67415627302786,1.3785419038528846,51.15264797507788,1605
Close>EMA31,4166.379511730704,61.3657082552157,-56.72400898399705,1.377363953102196,50.49689440993789,1610
Close>EMA38,4040.3282951591295,60.74992127013139,-49.916084231808796,1.376806736847839,50.90118085767558,1609
Close>SMA24,3812.9872523084236,59.59672708934933,-54.62610121110082,1.376298656413304,49.41466420209489,1623
Close>EMA28,4122.365265685161,61.15251499244363,-53.52930260308,1.3760825475443197,50.34140285536933,1611
Close>EMA32,4091.456352003077,61.001638459168774,-57.29667834847244,1.371505276996466,50.21698698078115,1613
Close>HMA30,3681.66836584682,58.90369220694549,-49.982322680719676,1.3680661722820096,45.746579417013685,1681
Close>EMA30,4028.141700135771,60.68952330583235,-58.661347475876866,1.3676845157974618,50.280723643169054,1603
Close>EMA29,3887.469515509202,59.98083672480672,-56.54458903637636,1.3552737678612543,50.18656716417911,1608
