symbol,short_period,long_period,total_return,cagr,sharpe_ratio,max_drawdown,win_rate,total_trades
ETH_KRW,1,100,983.5427457901349,41.54327150769552,0.9081778689190227,-61.0856882242642,50.72463768115942,1311
ETH_KRW,1,125,2138.304044170222,57.33651215070381,1.1005251064790584,-63.36634091475687,50.977326035965596,1279
ETH_KRW,1,150,3088.325346950542,65.6654850621892,1.1932727899455526,-56.5415590335815,51.21759622937942,1273
ETH_KRW,1,175,1827.6350350910511,53.94563881476022,1.056195073386174,-63.31215222746022,51.87500000000001,1280
ETH_KRW,1,200,1370.209539305806,47.983630960198596,0.9810210122313139,-71.3204661311297,51.82370820668692,1316
ETH_KRW,5,10,1399.4344323924424,48.40894731960093,0.9832568276272693,-65.69202041242144,46.64310954063604,1415
ETH_KRW,5,15,4789.269780557937,76.32176995805695,1.3022992932361435,-61.11382814813353,49.77272727272727,1320
ETH_KRW,5,20,2484.4988581766547,60.67056146288725,1.1522189317597753,-55.92046890099176,49.80237154150198,1265
ETH_KRW,5,25,2481.783836997662,60.645940183379274,1.1478548691428268,-47.478895509273954,49.72462627852085,1271
ETH_KRW,5,30,4661.608299667385,75.6428800011069,1.3144181228263743,-44.722031698461244,50.943396226415096,1272
ETH_KRW,5,40,3083.9983679143447,65.63268395098359,1.1948825507404417,-56.722255405048394,51.21580547112462,1316
ETH_KRW,5,50,3263.080055747663,66.95948004650944,1.2269072095158768,-50.55941333938855,51.519875292283714,1283
ETH_KRW,5,60,2059.4691836606166,56.516086495892125,1.090527088914156,-60.99458536882584,52.153484729835554,1277
ETH_KRW,5,75,1297.4808290100552,46.89297544123821,0.9644821933659271,-69.33048992204648,51.924528301886795,1325
ETH_KRW,5,100,1177.322948266185,44.979940969125124,0.9480830422865177,-62.63631701116555,51.382488479262676,1302
ETH_KRW,5,125,1824.5490031420027,53.909678570324225,1.060804219391963,-66.9071010159187,51.748807631160574,1258
ETH_KRW,5,150,2033.9826293576052,56.24537590077079,1.0826486987351818,-60.49640764148928,51.60513643659711,1246
ETH_KRW,5,175,2069.837377434131,56.62543396326003,1.0880293684616702,-62.50484161387213,52.16706067769897,1269
ETH_KRW,5,200,1514.3585972985193,50.01563633869339,1.0092643614081644,-72.95598522093076,52.12683681361175,1293
ETH_KRW,10,15,1043.2151188595303,42.653991221418664,0.9197703153207923,-68.53688388170379,49.407407407407405,1350
ETH_KRW,10,20,4531.855270506918,74.93674465228935,1.2990398578462732,-50.276142521656254,50.50348567002324,1291
ETH_KRW,10,25,2292.488910502245,58.872189022807106,1.1203584949872611,-53.60426976770999,50.0,1272
ETH_KRW,10,30,2372.6378571398322,59.637339829178806,1.1235041985890535,-60.252500670543554,50.194855806703046,1283
ETH_KRW,10,40,3625.401014188607,69.46897357233517,1.227448628472609,-52.12822219339082,51.050583657587545,1285
ETH_KRW,10,50,1462.024790180102,49.2965273118011,0.9944480093944273,-68.57918758563468,51.6078431372549,1275
ETH_KRW,10,60,2319.15545117971,59.129162897406594,1.1032428978328346,-65.7726935995027,52.22830336200156,1279
ETH_KRW,10,75,1885.2844931920686,54.608525013029194,1.0455869933686843,-60.387922311990515,51.92307692307693,1300
ETH_KRW,10,100,1337.9018425591526,47.50496156197572,0.9737314726675034,-64.26516477553434,51.42198308993082,1301
ETH_KRW,10,125,1196.0356677617926,45.28771021501412,0.9546100633588878,-74.61742178461634,51.23113582208102,1259
ETH_KRW,10,150,1776.8656467400801,53.34768846752236,1.0498988294885625,-65.68560607563005,51.67074164629177,1227
ETH_KRW,10,175,1282.5835453524523,46.663608605559425,0.9685707107442487,-65.24590531310119,51.78429817605076,1261
ETH_KRW,10,200,1607.6911501610332,51.250079487809664,1.0249655672340254,-64.19372721418252,52.17729393468118,1286
ETH_KRW,15,20,1598.3920804915592,51.12970885198753,1.0287728606859532,-60.832038151515754,49.17293233082707,1330
ETH_KRW,15,25,1355.2772708208206,47.76352368047556,0.9797906318087951,-61.7154833855208,48.95104895104895,1287
ETH_KRW,15,30,1040.2631195498789,42.60022194733766,0.9110691880214462,-63.709504669956395,49.25606891151135,1277
ETH_KRW,15,40,2059.8531754277005,56.52014422823568,1.0890653931137184,-61.13177727298509,51.10584518167457,1266
ETH_KRW,15,50,1725.3396545667697,52.72652979178534,1.035891435339539,-69.45568494060892,51.945988880063545,1259
ETH_KRW,15,60,1911.4304675996977,54.903760192386784,1.0572027664880177,-61.80661395742717,51.66666666666667,1260
ETH_KRW,15,75,2020.1826689432173,56.09764230520427,1.0681131091220255,-62.60391289731264,52.119309262166404,1274
ETH_KRW,15,100,1246.8094850353634,46.10406734247452,0.9524666074627343,-66.33280893180726,51.16099071207431,1292
ETH_KRW,15,125,1149.8418568047036,44.52090206369934,0.9407487818538729,-75.28590030704918,51.4670896114195,1261
ETH_KRW,15,150,1895.719838987419,54.726754857141735,1.0631581552671985,-65.6697842654899,51.830756712774615,1229
ETH_KRW,15,175,1781.206324959808,53.39934860516862,1.0458346093641837,-64.68969193643449,51.949085123309466,1257
ETH_KRW,15,200,1713.3838305575687,52.580261244403495,1.0394981398549865,-68.598557994445,52.332814930015545,1286
ETH_KRW,20,25,1007.9960312867131,42.00460458366155,0.9035320594947535,-72.19927115987026,48.406676783004556,1318
ETH_KRW,20,30,1369.6244029705404,47.97504185664672,0.9736973806762766,-69.01439406583178,49.57064793130367,1281
ETH_KRW,20,40,774.7393506866123,37.19358513120439,0.8452519399072567,-69.43733098217643,51.031746031746025,1260
ETH_KRW,20,50,1965.9676019066335,55.509180331373464,1.0651214185532594,-59.284507922504304,51.72690763052209,1245
ETH_KRW,20,60,2310.910913306265,59.049973356496245,1.1040726111489363,-59.392640634423834,51.7077045274027,1259
ETH_KRW,20,75,1146.1787591735908,44.459064714798636,0.9353038326196697,-62.678665156136134,51.77304964539007,1269
ETH_KRW,20,100,1030.001209714397,42.412376265703664,0.9144910697700873,-61.000331060811455,51.188589540412046,1262
ETH_KRW,20,125,983.768057261223,41.547562625242904,0.9026247253157027,-78.73861950690973,51.188589540412046,1262
ETH_KRW,20,150,1477.2596375737976,49.50796402302073,1.0013694081763118,-68.27265187122377,51.34693877551021,1225
ETH_KRW,20,175,1453.629278136201,49.1792563245216,0.9965434536322118,-63.96101148117801,51.96156925540433,1249
ETH_KRW,20,200,1012.1637001370491,42.082362262217465,0.911782809717255,-72.66079043809295,51.91256830601093,1281
ETH_KRW,25,30,1252.4100389438163,46.19249733552599,0.9483542807499833,-69.09030268209894,49.27975739196361,1319
ETH_KRW,25,40,1979.9012603904,55.66166725350428,1.0625922772758931,-61.76768173289465,51.84025058731402,1277
ETH_KRW,25,50,2047.8237567847675,56.39273275141121,1.0740549028072324,-59.69596707233188,51.59235668789809,1256
ETH_KRW,25,60,1227.4732560502373,45.796323736988676,0.9499040875770937,-66.40627052290708,51.52941176470588,1275
ETH_KRW,25,75,1202.4502541952932,45.39233796224573,0.9455699920245523,-62.33546593992981,51.77584846093133,1267
ETH_KRW,25,100,1024.0692908575206,42.30312605168365,0.9144740988727357,-68.59775683083436,51.40336808340016,1247
ETH_KRW,25,125,1267.2816380111697,46.42580349860821,0.9706331830923722,-71.67772702965507,51.556264964086196,1253
ETH_KRW,25,150,1515.7111050345727,50.03395540873434,1.0070361360109428,-66.97469346252353,51.6366612111293,1222
ETH_KRW,25,175,1571.7258350828672,50.781381797260686,1.0147977456154058,-68.71671304404533,52.156549520766774,1252
ETH_KRW,25,200,814.6049460420487,38.08799035103978,0.8621068110229454,-73.2452379649014,51.4937106918239,1272
ETH_KRW,30,40,1910.6327159365183,54.89480075527096,1.0564341005342284,-62.07594282929145,51.70807453416148,1288
